id,brand,category,event,event_text,name,original_timestamp,timestamp,price,product_id,quantity
ajs-next-f9f5ca6b51f406fadedaa067be1e26c8,,,product_added_to_wishlist,Product Added to Wishlist,,2022-10-29 23:57:44.07 UTC,2022-10-29 23:57:46.707 UTC,,,
ajs-next-249ac3ff1099484a05cff11992d8cf90,,,product_added_to_wishlist,Product Added to Wishlist,,2022-09-18 02:45:23.095 UTC,2022-09-18 02:45:24.596 UTC,,,
ajs-next-ed10de45a002d81417946262e57b0461,,,product_added_to_wishlist,Product Added to Wishlist,,2022-10-22 20:54:01.064 UTC,2022-10-22 20:54:04.248 UTC,,,
ajs-next-fb7efa4aec944322a5a2cc492a5123c2,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-18 03:53:57.863 UTC,2023-01-18 03:54:00.794 UTC,,,
ajs-next-e3da7c938b7abc60ebbd4e96e432ffb3,,,product_added_to_wishlist,Product Added to Wishlist,,2022-11-12 17:07:04.813 UTC,2022-11-12 17:07:07.391 UTC,,,
ajs-next-fb67d629e741e7d1eab88b427c613005,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-06 18:38:59.592 UTC,2023-03-06 18:39:02.199 UTC,,,
ajs-next-f21b1a4466ccb9748739d88c63ab5837,,,product_added_to_wishlist,Product Added to Wishlist,,2022-07-21 15:52:34.353 UTC,2022-07-21 15:52:36.101 UTC,,,
ajs-next-75d0913d1519aead107cdc73fb01a8be,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-25 12:15:54.193 UTC,2023-02-25 12:15:57.136 UTC,,,
ajs-next-504bbc254a720e9eb799508ff9b21f46,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-12 18:57:14.784 UTC,2023-02-12 18:57:19.589 UTC,,,
ajs-next-b3a1af17b4b71c58486a25614b7dbcbe,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-05 02:49:01.397 UTC,2023-01-05 02:49:03.435 UTC,,,
ajs-next-807200d8c9082b77de789a29db5ce201,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-22 06:48:46.746 UTC,2023-02-22 06:48:50.079 UTC,,,
ajs-next-11f66a3131546a52f4cca12f39ae742c,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-22 20:55:59.17 UTC,2023-02-22 20:56:01.992 UTC,,,
ajs-next-fd0d78d5fa2364f04f0a79cd7b6c6f3a,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-01 07:57:57.958 UTC,2023-01-01 07:58:01.322 UTC,,,
ajs-next-a5af69d4e1ab3053e0f6c15157e4a02f,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-01 20:46:14.553 UTC,2023-01-01 20:46:16.854 UTC,,,
ajs-next-5203f48e69d7c031bf9d640f75e2bc45,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-09 01:57:09.877 UTC,2023-03-09 01:57:11.69 UTC,,,
ajs-next-b8568c7e07f352c6c722338c8ff1c84f,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-23 03:46:52.128 UTC,2023-01-23 03:46:53.839 UTC,,,
ajs-next-b0fb68dafce7b2750889bdb6075e3e73,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-21 13:46:00.198 UTC,2023-03-21 13:46:02.081 UTC,,,
